ShutOffInactivityTimer,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/ShutOffInactivityTimer.txt,Turn off inactivity timer,,,,,,,,
TurnOnInactivityTimer,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/EnableInactivityTimer.txt,Turn on inactivity timer,,,,,,,,
SAT3926,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/SAT3926.txt,Setup 3926 to be able to run SAT tests,,,,,,,,
SAT3928,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/SAT3928.txt,Setup 3928 to be able to run SAT tests,,,,,,,,
SAT3928,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/SAT3928.txt,Enable SAT on 3924,,,,,,,,
,,,,,,,,,,,,
Apply3903BaseConfig,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/Apply3903BaseConfig.txt,,,,,,,,,
ApplyLP3903BaseCAL,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/ApplyLP3903BaseCAL.txt,Apply 3903 Base Config in CAL lab,,,,,,,,
ApplyLPBaseCfg,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/ApplyLP3924BaseCfg.txt,Apply LP Base Config in CAL lab,,,,,,,,
ApplyLPBase3984,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/ApplyLP3924BaseCfg3984.txt,Apply LP Base Config to 3984 in CAL lab,,,,,,,,
,,,,,,,,,,,,
SetEMIX,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/SetEmix3903.txt,Setup Lightpath EMIX Sequence test,,,,,,,,
SetEMIX,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/SetEMIX3924.txt,Set EMIX sequence traffic for Lightpath tests,,,,,,,,
ChangeLightpathKPI,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/SetKPI.txt,Set KPIs for Lightpath test,,,,,,,,
ChangeLightpathKPI,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/SetKPI.txt,Set KPIs for Lightpath test,,,,,,,,
SetAllKPIProfiles,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/SetAllKPIs.txt,Setup KPIs for all base SAT tests,,,,,,,,
SetAllKPIProfiles,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/SetAllKPIs.txt,Setup KPIs for all base SAT tests,,,,,,,,
,,,,,,,,,,,,
Cleanup3903Config,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/Cleanup3903Config.txt,"After 3903 has been deployed, you can run this to make sure base config is there",,,,,,,,
Cleanup3924Config,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/Cleanup3924Config.txt,"After 3924 has been deployed, you can run this to make sure base config is there",,,,,,,,
,,,,,,,,,,,,
ConfigBefore,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/ConfigBefore.txt,Backup the config for diffs later,,,,,,,,
ConfigBefore,PN10x,netconf,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/10x/ConfigBefore.txt,Backup the config for diffs later,,,,,,,,
,,,,,,,,,,,,
AddNTPServer,PN6x,cli,/mnt/c/Users/bfox/OneDrive - Ciena Corporation/Documents/Customers/Lightpath/NCS-Customize/6x/AddNTPServer.txt,Set up NTP Server,,,,,,,,
